,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Producción de energía (kt de equivalente de petróleo),9118183,10517158,11679821,12114147,11395378,11157755,10713492,10180688,10995003,11300.57,10304325,10399685,12906697,14288149,15743473,18336721,22321409,27063631,27188633,28652.03,29955.51,32754745,30535.47,32947805,36417313,39803266,41578243,43000522,43601388,43749.22,43548137,51553312,51497412,57787961,71115057,80231433,95322468,106073512,101271492,98929791,92160322
"Producción de electricidad a partir de fuentes de petróleo, gas y carbón (% del total)",18.4636118598383,18.854415274463,17.2764227642276,30.1871440195281,27.2030651340996,26.8376068376068,26.8376068376068,9.74358974358974,11.9047619047619,11.8518518518519,11.8518518518519,12.3611111111111,26.1813537675607,10.2985074626866,13.0272952853598,13.0272952853598,13.4567901234568,13.9877300613497,13.3089133089133,13.7931034482759,17.3447537473233,11.29883843717,6.31578947368421,6.282722513089,6.25,10.0194552529183,23.6474694589878,19.5751138088012,33.0337078651685,36.8858131487889,37.9120879120879,35.2407932011331,37.7944862155388,21.594982078853,20.3517587939699,19.3889897156685,22.3811004041032,24.5909528392685,34.6568109820486,32.0425766195632,29.0921960714918
Producción de electricidad a partir de fuentes hidroeléctricas (kWh),605000000,680000000,814000000,858000000,950000000,428000000,428000000,528000000,555000000,595000000,595000000,631000000,578000000,601000000,701000000,701000000,701000000,701000000,710000000,725000000,772000000,840000000,890000000,895000000,900000000,925000000,875000000,1060000000,894000000,912000000,1017000000,1143000000,1241000000,1750000000,2219000000,2665000000,2497000000,3134000000,3094000000,3703000000,4007000000
Producción de electricidad a partir de fuentes hidroeléctricas (% del total),81.5363881401617,81.145584725537,82.7235772357724,69.8128559804719,72.7969348659004,73.1623931623932,73.1623931623932,90.2564102564103,88.0952380952381,88.1481481481482,88.1481481481482,87.6388888888889,73.8186462324393,89.7014925373134,86.9727047146402,86.9727047146402,86.5432098765432,86.0122699386503,86.6910866910867,86.2068965517241,82.6552462526767,88.70116156283,93.6842105263158,93.717277486911,93.75,89.9805447470817,76.3525305410122,80.4248861911988,66.9662921348315,63.1141868512111,62.0879120879121,64.7592067988669,62.2055137844612,78.405017921147,79.6482412060302,80.6110102843315,77.6188995958968,75.4090471607315,65.3431890179514,67.9574233804368,70.9078039285082
Transmisión de energía eléctrica y pérdidas en la distribución (kWh),186000000,210000000,246000000,307000000,326000000,146000000,146000000,146000000,158000000,169000000,169000000,180000000,196000000,168000000,202000000,202000000,203000000,204000000,205000000,211000000,267000000,270000000,270000000,271000000,273000000,292000000,115000000,192000000,194000000,211000000,238000000,258000000,258000000,590000000,662000000,390000000,431000000,416000000,474000000,627000000,637000000
Transmisión de energía eléctrica y pérdidas en la distribución (% de producción),25.0673854447439,25.0596658711217,25,24.9796582587469,24.9808429118774,24.957264957265,24.957264957265,24.957264957265,25.0793650793651,25.037037037037,25.037037037037,25,25.0319284802043,25.0746268656716,25.0620347394541,25.0620347394541,25.0617283950617,25.0306748466258,25.030525030525,25.089179548157,28.5867237687366,28.5110876451954,28.4210526315789,28.3769633507853,28.4375,28.4046692607004,10.0349040139616,14.567526555387,14.5318352059925,14.6020761245675,14.5299145299145,14.6175637393768,12.9323308270677,26.4336917562724,23.7616654702082,11.7967332123412,13.3975753807896,10.009624639076,10.0105596620908,11.5066984767847,11.2723411785525
Producción de electricidad a partir del petróleo (kWh),137000000,158000000,170000000,371000000,355000000,157000000,157000000,57000000,75000000,80000000,80000000,89000000,205000000,69000000,105000000,105000000,109000000,114000000,109000000,116000000,162000000,107000000,60000000,60000000,60000000,103000000,271000000,258000000,441000000,533000000,621000000,622000000,754000000,482000000,567000000,641000000,720000000,1022000000,1641000000,1746000000,1644000000
Producción de electricidad a partir del petróleo (% del total),18.4636118598383,18.854415274463,17.2764227642276,30.1871440195281,27.2030651340996,26.8376068376068,26.8376068376068,9.74358974358974,11.9047619047619,11.8518518518519,11.8518518518519,12.3611111111111,26.1813537675607,10.2985074626866,13.0272952853598,13.0272952853598,13.4567901234568,13.9877300613497,13.3089133089133,13.7931034482759,17.3447537473233,11.29883843717,6.31578947368421,6.282722513089,6.25,10.0194552529183,23.6474694589878,19.5751138088012,33.0337078651685,36.8858131487889,37.9120879120879,35.2407932011331,37.7944862155388,21.594982078853,20.3517587939699,19.3889897156685,22.3811004041032,24.5909528392685,34.6568109820486,32.0425766195632,29.0921960714918
Producción de electricidad (kWh),742000000,838000000,984000000,1229000000,1305000000,585000000,585000000,585000000,630000000,675000000,675000000,720000000,783000000,670000000,806000000,806000000,810000000,815000000,819000000,841000000,934000000,947000000,950000000,955000000,960000000,1028000000,1146000000,1318000000,1335000000,1445000000,1638000000,1765000000,1995000000,2232000000,2786000000,3306000000,3217000000,4156000000,4735000000,5449000000,5651000000
Producción de electricidad a partir de fuentes renovables (kilovatio-hora),605000000,680000000,814000000,858000000,950000000,428000000,428000000,528000000,555000000,595000000,595000000,631000000,578000000,601000000,701000000,701000000,701000000,701000000,710000000,725000000,772000000,840000000,890000000,895000000,900000000,925000000,875000000,1060000000,894000000,912000000,1017000000,1143000000,1241000000,1750000000,2219000000,2665000000,2497000000,3134000000,3094000000,3703000000,4007000000
